[TEST] 로그 파일: C:\Users\juho.park\rbw\rbw_modbus_test\logs\20250703_1352_08.txt
[TEST] Memory 모드 (채널 11) 용접 + 모니터링
[MON] t=3.7s | TAST=1932 | V=172 | I=40
[MON] t=3.8s | TAST=2015 | V=172 | I=40
[MON] t=3.8s | TAST=2047 | V=172 | I=40
[MON] t=3.8s | TAST=2059 | V=0 | I=0
[MON] t=3.9s | TAST=0 | V=0 | I=0
[MON] t=3.9s | TAST=0 | V=0 | I=0
[MON] t=3.9s | TAST=0 | V=0 | I=0
[MON] t=4.0s | TAST=0 | V=0 | I=0
[MON] t=4.0s | TAST=0 | V=0 | I=0
[MON] t=4.0s | TAST=0 | V=0 | I=0
[MON] t=4.1s | TAST=0 | V=0 | I=0
[MON] t=4.1s | TAST=0 | V=0 | I=0
[MON] t=4.1s | TAST=0 | V=0 | I=0
[MON] t=4.2s | TAST=0 | V=0 | I=0
[MON] t=4.2s | TAST=403 | V=580 | I=4
[MON] t=4.2s | TAST=1372 | V=580 | I=4
[MON] t=4.3s | TAST=1185 | V=580 | I=4
[MON] t=4.3s | TAST=1131 | V=580 | I=4
[MON] t=4.3s | TAST=1093 | V=580 | I=4
[MON] t=4.4s | TAST=2453 | V=580 | I=4
[MON] t=4.4s | TAST=4686 | V=144 | I=64
[MON] t=4.4s | TAST=4368 | V=144 | I=64
[MON] t=4.5s | TAST=3128 | V=144 | I=64
[MON] t=4.5s | TAST=2649 | V=144 | I=64
[MON] t=4.5s | TAST=2464 | V=144 | I=64
[MON] t=4.6s | TAST=2393 | V=144 | I=64
[MON] t=4.6s | TAST=2366 | V=247 | I=62
[MON] t=4.6s | TAST=1807 | V=247 | I=62
[MON] t=4.7s | TAST=1107 | V=247 | I=62
[MON] t=4.7s | TAST=997 | V=247 | I=62
[MON] t=4.7s | TAST=954 | V=247 | I=62
[MON] t=4.8s | TAST=938 | V=247 | I=62
[MON] t=4.8s | TAST=932 | V=247 | I=62
[MON] t=4.8s | TAST=928 | V=247 | I=62
[MON] t=4.9s | TAST=928 | V=247 | I=62
[MON] t=4.9s | TAST=742 | V=0 | I=0
[MON] t=4.9s | TAST=0 | V=0 | I=0
[MON] t=5.0s | TAST=0 | V=0 | I=0
[MON] t=5.0s | TAST=0 | V=0 | I=0
[MON] t=5.0s | TAST=0 | V=0 | I=0
[MON] t=5.1s | TAST=0 | V=0 | I=0
[MON] t=5.1s | TAST=0 | V=456 | I=31
[MON] t=5.1s | TAST=1163 | V=456 | I=31
[MON] t=5.2s | TAST=1533 | V=456 | I=31
[MON] t=5.2s | TAST=1676 | V=456 | I=31
[MON] t=5.2s | TAST=1731 | V=456 | I=31
[MON] t=5.3s | TAST=1752 | V=456 | I=31
[MON] t=5.3s | TAST=1972 | V=456 | I=31
[MON] t=5.3s | TAST=2108 | V=456 | I=31
[MON] t=5.4s | TAST=2161 | V=456 | I=31
[MON] t=5.4s | TAST=2185 | V=238 | I=62
[MON] t=5.4s | TAST=2191 | V=238 | I=62
[MON] t=5.5s | TAST=2193 | V=238 | I=62
[MON] t=5.5s | TAST=1268 | V=238 | I=62
[MON] t=5.5s | TAST=1059 | V=238 | I=62
[MON] t=5.6s | TAST=0 | V=0 | I=0
[MON] t=5.6s | TAST=0 | V=0 | I=0
[MON] t=5.6s | TAST=0 | V=0 | I=0
[MON] t=5.7s | TAST=0 | V=0 | I=0
[MON] t=5.7s | TAST=0 | V=0 | I=0
[MON] t=5.7s | TAST=595 | V=467 | I=8
[MON] t=5.8s | TAST=996 | V=467 | I=8
[MON] t=5.8s | TAST=997 | V=467 | I=8
[MON] t=5.8s | TAST=998 | V=467 | I=8
[MON] t=5.9s | TAST=999 | V=467 | I=8
[MON] t=5.9s | TAST=966 | V=272 | I=27
[MON] t=5.9s | TAST=942 | V=272 | I=27
[MON] t=6.0s | TAST=933 | V=272 | I=27
[MON] t=6.0s | TAST=929 | V=272 | I=27
[TEST] 용접 직후 상태값 읽기
[STATUS] TAST=928, Voltage=272, Current=27
[TEST] 테스트 완료
