[TEST] 로그 파일: C:\Users\juho.park\rbw\rbw_modbus_test\logs\20250703_1040_18.txt
[TEST] Memory 모드 (채널 10) 용접 + 모니터링
[MON] t=0.0s | TAST=0 | V=0 | I=0
[MON] t=0.1s | TAST=0 | V=0 | I=0
[MON] t=0.2s | TAST=0 | V=0 | I=0
[MON] t=0.3s | TAST=0 | V=0 | I=0
[MON] t=0.4s | TAST=0 | V=0 | I=0
[MON] t=0.6s | TAST=0 | V=0 | I=0
[MON] t=0.7s | TAST=0 | V=0 | I=0
[MON] t=0.8s | TAST=0 | V=0 | I=0
[MON] t=0.9s | TAST=0 | V=0 | I=0
[MON] t=1.0s | TAST=0 | V=478 | I=104
[MON] t=1.1s | TAST=0 | V=478 | I=104
[MON] t=1.2s | TAST=0 | V=478 | I=104
[MON] t=1.4s | TAST=0 | V=278 | I=117
[MON] t=1.5s | TAST=3428 | V=278 | I=117
[MON] t=1.6s | TAST=3417 | V=240 | I=101
[MON] t=1.7s | TAST=3369 | V=240 | I=101
[MON] t=1.8s | TAST=3487 | V=185 | I=47
[MON] t=1.9s | TAST=3403 | V=185 | I=47
[MON] t=2.1s | TAST=3302 | V=199 | I=55
[MON] t=2.2s | TAST=3367 | V=199 | I=55
[MON] t=2.3s | TAST=3641 | V=199 | I=55
[MON] t=2.4s | TAST=4079 | V=214 | I=51
[MON] t=2.5s | TAST=3957 | V=137 | I=94
[MON] t=2.6s | TAST=3766 | V=137 | I=94
[MON] t=2.7s | TAST=3518 | V=137 | I=94
[MON] t=2.8s | TAST=3775 | V=162 | I=80
[MON] t=3.0s | TAST=3760 | V=162 | I=80
[MON] t=3.1s | TAST=3590 | V=151 | I=89
[MON] t=3.2s | TAST=3491 | V=151 | I=89
[MON] t=3.3s | TAST=3643 | V=155 | I=85
[MON] t=3.4s | TAST=3704 | V=155 | I=85
[MON] t=3.5s | TAST=3599 | V=161 | I=81
[MON] t=3.7s | TAST=3709 | V=161 | I=81
[MON] t=3.8s | TAST=3711 | V=161 | I=81
[MON] t=3.9s | TAST=3586 | V=167 | I=82
[MON] t=4.0s | TAST=3786 | V=158 | I=90
[MON] t=4.1s | TAST=3737 | V=158 | I=90
[MON] t=4.2s | TAST=3783 | V=158 | I=90
[MON] t=4.3s | TAST=3842 | V=151 | I=83
[MON] t=4.5s | TAST=3684 | V=151 | I=83
[MON] t=4.6s | TAST=3578 | V=152 | I=94
[MON] t=4.7s | TAST=3617 | V=152 | I=94
[MON] t=4.8s | TAST=3724 | V=152 | I=94
[MON] t=4.9s | TAST=3553 | V=163 | I=83
[MON] t=5.0s | TAST=3545 | V=160 | I=88
[MON] t=5.1s | TAST=3688 | V=160 | I=88
[MON] t=5.3s | TAST=3678 | V=160 | I=88
[MON] t=5.4s | TAST=3706 | V=151 | I=89
[MON] t=5.5s | TAST=3577 | V=151 | I=89
[MON] t=5.6s | TAST=3742 | V=158 | I=82
[MON] t=5.7s | TAST=3857 | V=158 | I=82
[MON] t=5.8s | TAST=3560 | V=142 | I=92
[MON] t=5.9s | TAST=3475 | V=142 | I=92
[MON] t=6.1s | TAST=3467 | V=167 | I=86
[TEST] 용접 직후 상태값 읽기
[STATUS] TAST=3514, Voltage=167, Current=86
[TEST] 테스트 완료
